usage_type,name,R,G,B
401,מגורים,254,174,1
402,מסחר והסעדה,255,50,125
404,תעשיה ומלאכה,92,62,196
406,חקלאות,84,64,31
407,משרדים ותעשיות עתירות ידע,211,123,181
408,מלונאות ובתי אירוח,201,238,132
409,נופש וספורט,238,226,134
410,מבני ציבור ודת,150,60,22
411,פנאי ותרבות,50,225,120
412,מוסדות חינוך,176,174,82
413,מוסדות בריאות,30,125,145
414,מבני חירום וכליאה,5,135,22
415,"מבני תחבורה, דרך ותדלוק",90,81,123
416,"מבנים טכניים, תשתיות ושמירה",111,145,111
432,סטייה מצללה למותר ביחס,7,130,187
501,"ממ""ד שטח רצפה",196,214,215
502,"ממ""ד קירות",168,177,182
518,"חדר רטוב לממ""ד",120,175,165
519,"הרחבת ממ""ד",78,78,218
503,"ממ""ק ממ""מ מקלט שמירה",215,200,125
504,מעלית,212,189,196
505,מדרגות וחדרי מבואות,213,189,165
506,קומת עמודים מפולשת,195,150,60
507,מעברים לכלל הציבור,214,164,164
508,מערכות טכניות ומבני שירות,253,212,226
509,חדרי שירות משותפים,200,160,140
510,מרפסת מקורה,148,238,223
511,מרתף,200,225,190
512,חניה,129,102,111
513,עובי קירות,90,135,220
514,בליטות גגונים וקירוי,145,230,194
515,אחסנה,10,212,226
516,מבני שמירה,180,200,90
530,אחר,255,103,89
650,מרפסת זיזית,203,154,235
658,מרפסת גג,189,127,230
652,שטח מרוצף,169,89,222
655,מצללה,1,145,145
656,בריכת שחיה,255,163,151
657,בליטות גגונים וקירוי,191,173,198
659,גג טכני,170,140,235
660,תאים פוטו-וולטאים,213,174,239
661,חצר אנגלית,174,175,239
700,הורדה,255,255,255
701,הריסה ופירוק,225,240,127
702,חפירה,185,231,138
