usage_type,name,R,G,B
1,מגורים ,254,174,1
2,מסחר ,255,50,125
3,בידור ,,,
4,תעשיה ,92,62,196
5,מלאכה ,,,
6,צרכים חקלאיים ,84,64,31
7,משרדים ,211,123,181
8,בתי מלון ובתי אירוח אחרים ,155,181,108
9,נופש וספורט ,201,238,132
10,בניני ציבור ,94,60,22
12,תמא 38עד 25מר ,176,167,82
13,שטח עיקרי מרפסות ,94,60,22
14,שטח עיקרי מחסן,94,60,22
19,"שטח קירות ממ""ד – מרחב מוגן דירתי ",,,
20,"ממ""ד נטו – מרחב מוגן דירתי * ",250,230,249
21,מערכות טכניות ומתקני שירות ,255,213,234
22,אחסנה ,160,96,224
23,חניה ,96,96,224
24,מבואות וחדרי מדרגות ,218,193,182
25,קומה עמודים מפולשות ומקמרות ,230,236,250
26,מעברים ציבורים ,197,168,139
27,פרגולות/ מצללות ,239,250,230
28,שטח עזר מסחר ,230,239,250
29,שטח עזר מלונאות ,32,224,96
31,מרפסות שרות ,0,130,187
32,"ממ""ק - מרחב מוגן קומתי ",7,130,187
33,"ממ""מ - מרחב מוגן מוסדי ",7,130,187
35,חדר טראפו,230,250,233
50,"מרפסות זיז לא מקורה (עד 14מ""ר) ",96,224,224
51,מרפסות גג לא מקורה ,224,96,96
54,בריכה פרטית לא מקורה ,,,
55,עובי קירות ,248,230,250
56,ריצוף גינה ,,,
57,"מרפסת זיז מקורה (עד 14מ""ר) ",236,250,230
59,דרך,,,
70,הורדה,234,234,234
101,מגורים ,196,214,215
102,מסחר ,168,177,182
103,בידור ,196,214,215
104,תעשיה ,212,189,196
105,מלאכה ,211,189,165
106,צרכים חקלאיים,211,189,165
107,משרדים ,211,189,165
108,בתי מלון ובתי אירוח אחרים ,246,211,227
109,נופש וספורט ,246,211,227
110,בניני ציבור ,148,238,223
111,שטח עיקרי קיים.שטח יחושב לפי שדה AREA ,248,210,223
112,תמא 38עד 25מר ,129,102,111
113,שטח עיקרי מרפסות ,167,180,183
114,שטח עיקרי מחסן,145,230,194
119,"שטח קירות ממ""ד – מרחב מוגן דירתי ",,,
120,"ממ""ד נטו – מרחב מוגן דירתי * ",,,
121,מערכות טכניות ומתקני שירות ,,,
122,אחסנה ,,,
123,חניה ,,,
124,מבואות וחדרי מדרגות ,,,
125,קומה עמודים מפולשות ומקמרות ,,,
126,מעברים ציבורים ,,,
127,פרגולות/ מצללות ,,,
128,שטח עזר מסחר ,,,
129,שטח עזר מלונאות ,,,
130,שטח שירות קיים.שטח יחושב לפי שדה AREA ,212,189,196
131,מרפסות שרות ,,,
132,"ממ""ק - מרחב מוגן קומתי ",,,
133,"ממ""מ - מרחב מוגן מוסדי ",,,
135,חדר טראפו,,,
150,"מרפסות זיז (עד 14מ""ר) ",,,
151,מרפסות גג ,,,
152,מרפסת זיז לא מקורה.שטח יחושב לפי שדה AREA ,,,
153,מרפסת גג לא מקורה.שטח יחושב לפי שדה AREA ,,,
154,בריכה פרטית לא מקורה ,,,
155,עובי קירות ,,,
156,ריצוף גינה ,,,
157,"מרפסות זיז מקורה (עד 14מ""ר) ",,,
158,"מרפסות זיז מקורה (עד 14מ""ר). שטח יחושב לפי שדה AREA ",,,
159,דרך,,,
300,שטח בנוי המיועד להריסה בלבד (ללא בניה חלופית),255,255,255
301,שטח בנוי המיועד להריסה בלבד (ללא בניה חלופית). שטח יחושב לפי שדה AREA ,225,240,127
